OperatingDate,UnitName,cyHighTemperature,cyImpactName,cyLowTemperature,cyTotal,cyWeather1,cyWeather2
6/6/2019,Silver Dollar City            ,83,Precipitation            ,67,5542,L67/H80/A70/P0.60/Mostly Cloudy/Uncomfortable               ,Substantial Heavy Rain                                      
6/6/2019,Dollywood                     ,80,No weather impact        ,68,6425,L68/H77/A73/P0.09/Partly Cloudy/Uncomfortable               ,                                                            
6/6/2019,Dollywood Splash Country      ,80,No weather impact        ,68,1669,L68/H77/A73/P0.09/Partly Cloudy/Uncomfortable               ,Some Light Rain/Cloudy                                      
6/6/2019,Dollywood Cabins              ,0,                         ,0,0,                                                            ,                                                            
6/6/2019,DreamMore Resort              ,0,                         ,0,295,                                                            ,                                                            
6/6/2019,Stone Mountain                ,79,No weather impact        ,71,856,L71/H76/A74/P0.04/Mostly Cloudy/Uncomfortable               ,Cloudy                                                      
6/6/2019,White Water                   ,83,Both precipitation/temp  ,67,341,L67/H80/A70/P0.60/Mostly Cloudy/Uncomfortable               ,Substantial Heavy Rain/Some Cold Temps/Cloudy               
6/6/2019,Wild Adventures               ,92,No weather impact        ,74,1344,L74/H86/A80/P0.06/Mostly Cloudy/Oppressive                  ,                                                            
6/6/2019,Newport Aquarium              ,88,No weather impact        ,65,1891,L65/H85/A75/P0.04/Partly Cloudy/Uncomfortable               ,                                                            
6/6/2019,Adventure Aquarium            ,88,No weather impact        ,70,2319,L70/H85/A77/P0.04/Mostly Sunny/Uncomfortable                ,                                                            
6/7/2019,Silver Dollar City            ,85,No weather impact        ,67,7817,L67/H81/A72/P0.09/Partly Cloudy/Uncomfortable               ,                                                            
6/7/2019,Dollywood                     ,83,Precipitation            ,67,4898,L67/H80/A71/P0.50/Mostly Cloudy/Uncomfortable               ,Substantial Heavy Rain                                      
6/7/2019,Dollywood Splash Country      ,83,Precipitation            ,67,989,L67/H80/A71/P0.50/Mostly Cloudy/Uncomfortable               ,Substantial Heavy Rain/Cloudy                               
6/7/2019,Dollywood Cabins              ,0,                         ,0,0,                                                            ,                                                            
6/7/2019,DreamMore Resort              ,0,                         ,0,286,                                                            ,                                                            
6/7/2019,Stone Mountain                ,92,Precipitation            ,69,704,L69/H87/A74/P0.68/Mostly Cloudy/Uncomfortable               ,Substantial Heavy Rain/Cloudy                               
6/7/2019,White Water                   ,85,No weather impact        ,67,434,L67/H81/A72/P0.09/Partly Cloudy/Uncomfortable               ,Some Light Rain/Cloudy                                      
6/7/2019,Wild Adventures               ,91,Precipitation            ,74,2342,L74/H85/A79/P0.41/Mostly Sunny/Oppressive                   ,Substantial Heavy Rain                                      
6/7/2019,Newport Aquarium              ,79,No weather impact        ,68,2364,L68/H78/A73/P0.01/Cloudy/Sticky                             ,                                                            
6/7/2019,Adventure Aquarium            ,82,No weather impact        ,67,1815,L67/H81/A74/Partly Cloudy/Sticky                            ,                                                            
6/8/2019,Silver Dollar City            ,87,No weather impact        ,64,15805,L64/H85/A75/Mostly Sunny/Sticky                             ,                                                            
6/8/2019,Dollywood                     ,78,Precipitation            ,65,8899,L65/H76/A70/P0.43/Mostly Cloudy/Uncomfortable               ,Substantial Heavy Rain                                      
6/8/2019,Dollywood Splash Country      ,78,Precipitation            ,65,2039,L65/H76/A70/P0.43/Mostly Cloudy/Uncomfortable               ,Substantial Heavy Rain/Cloudy                               
6/8/2019,Dollywood Cabins              ,0,                         ,0,0,                                                            ,                                                            
6/8/2019,DreamMore Resort              ,0,                         ,0,281,                                                            ,                                                            
6/8/2019,Stone Mountain                ,70,Precipitation            ,67,505,L67/H70/A69/P1.88/Cloudy/Uncomfortable                      ,Substantial Heavy Rain/Cloudy                               
6/8/2019,White Water                   ,87,No weather impact        ,64,3199,L64/H85/A75/Mostly Sunny/Sticky                             ,                                                            
6/8/2019,Wild Adventures               ,92,Precipitation            ,72,6646,L72/H85/A78/P0.60/Mostly Cloudy/Oppressive                  ,Substantial Heavy Rain/Cloudy                               
6/8/2019,Newport Aquarium              ,75,No weather impact        ,68,4367,L68/H74/A71/P0.06/Cloudy/Sticky                             ,                                                            
6/8/2019,Adventure Aquarium            ,80,No weather impact        ,62,2605,L62/H79/A71/Partly Cloudy/Comfortable                       ,                                                            
6/9/2019,Silver Dollar City            ,90,No weather impact        ,64,10849,L64/H86/A75/Mostly Sunny/Uncomfortable                      ,                                                            
6/9/2019,Dollywood                     ,86,Precipitation            ,67,4906,L67/H82/A72/P0.40/Partly Cloudy/Uncomfortable               ,Substantial Heavy Rain                                      
6/9/2019,Dollywood Splash Country      ,86,Precipitation            ,67,1597,L67/H82/A72/P0.40/Partly Cloudy/Uncomfortable               ,Substantial Heavy Rain                                      
6/9/2019,Dollywood Cabins              ,0,                         ,0,462,                                                            ,                                                            
6/9/2019,DreamMore Resort              ,0,                         ,0,248,                                                            ,                                                            
6/9/2019,Stone Mountain                ,84,No weather impact        ,69,1483,L69/H80/A73/P0.02/Cloudy/Uncomfortable                      ,Cloudy                                                      
6/9/2019,White Water                   ,90,No weather impact        ,64,2803,L64/H86/A75/Mostly Sunny/Uncomfortable                      ,                                                            
6/9/2019,Wild Adventures               ,82,Precipitation            ,71,898,L71/H78/A74/P1.60/Mostly Cloudy/Oppressive                  ,Substantial Heavy Rain                                      
6/9/2019,Newport Aquarium              ,82,No weather impact        ,67,3905,L67/H79/A72/P0.28/Mostly Cloudy/Uncomfortable               ,                                                            
6/9/2019,Adventure Aquarium            ,79,No weather impact        ,59,2431,L59/H79/A69/Mostly Sunny/Pleasant                           ,                                                            
6/10/2019,Silver Dollar City            ,78,No weather impact        ,56,9064,L56/H78/A69/Mostly Sunny/Pleasant                           ,                                                            
6/10/2019,Dollywood                     ,83,Precipitation            ,68,4264,L68/H80/A72/P0.33/Partly Cloudy/Uncomfortable               ,Substantial Heavy Rain                                      
6/10/2019,Dollywood Splash Country      ,83,Precipitation            ,68,448,L68/H80/A72/P0.33/Partly Cloudy/Uncomfortable               ,Substantial Heavy Rain                                      
6/10/2019,Dollywood Cabins              ,0,                         ,0,0,                                                            ,                                                            
6/10/2019,DreamMore Resort              ,0,                         ,0,295,                                                            ,                                                            
6/10/2019,Stone Mountain                ,87,No weather impact        ,72,887,L72/H82/A75/P0.07/Partly Cloudy/Oppressive                  ,                                                            
6/10/2019,White Water                   ,78,Unfavorable temperature  ,56,1189,L56/H78/A69/Mostly Sunny/Pleasant                           ,Some Cold Temps                                             
6/10/2019,Wild Adventures               ,96,Precipitation            ,71,1160,L71/H88/A77/P0.35/Partly Cloudy/Oppressive                  ,Substantial Heavy Rain                                      
6/10/2019,Newport Aquarium              ,79,No weather impact        ,57,2509,L57/H76/A70/P0.13/Partly Cloudy/Sticky                      ,                                                            
6/10/2019,Adventure Aquarium            ,82,No weather impact        ,61,2531,L61/H77/A70/P0.33/Cloudy/Uncomfortable                      ,                                                            
6/11/2019,Silver Dollar City            ,79,No weather impact        ,52,10109,L52/H79/A67/Partly Cloudy/Pleasant                          ,                                                            
6/11/2019,Dollywood                     ,76,No weather impact        ,58,17735,L58/H76/A67/Partly Cloudy/Pleasant                          ,                                                            
6/11/2019,Dollywood Splash Country      ,76,No weather impact        ,58,3111,L58/H76/A67/Partly Cloudy/Pleasant                          ,                                                            
6/11/2019,Dollywood Cabins              ,0,                         ,0,0,                                                            ,                                                            
6/11/2019,DreamMore Resort              ,0,                         ,0,303,                                                            ,                                                            
6/11/2019,Stone Mountain                ,89,Precipitation            ,66,1500,L66/H86/A75/P0.78/Mostly Sunny/Uncomfortable                ,Substantial Heavy Rain                                      
6/11/2019,White Water                   ,79,Unfavorable temperature  ,52,1630,L52/H79/A67/Partly Cloudy/Pleasant                          ,Some Cold Temps                                             
6/11/2019,Wild Adventures               ,96,No weather impact        ,71,701,L71/H88/A78/P0.15/Partly Cloudy/Oppressive                  ,Some Light Rain                                             
6/11/2019,Newport Aquarium              ,77,No weather impact        ,51,1472,L51/H78/A66/Clear/Sunney/Pleasant                           ,                                                            
6/11/2019,Adventure Aquarium            ,78,No weather impact        ,65,1863,L65/H79/A71/P0.12/Partly Cloudy/Pleasant                    ,                                                            
6/12/2019,Silver Dollar City            ,78,Precipitation            ,55,5502,L55/H76/A65/P0.30/Partly Cloudy/Comfortable                 ,Substantial Heavy Rain                                      
6/12/2019,Dollywood                     ,71,No weather impact        ,58,10656,L58/H71/A64/P0.15/Partly Cloudy/Comfortable                 ,Some Light Rain                                             
6/12/2019,Dollywood Splash Country      ,71,Both precipitation/temp  ,58,1394,L58/H71/A64/P0.15/Partly Cloudy/Comfortable                 ,Substantial Heavy Rain/Some Cold Temps                      
6/12/2019,Dollywood Cabins              ,0,                         ,0,0,                                                            ,                                                            
6/12/2019,DreamMore Resort              ,0,                         ,0,298,                                                            ,                                                            
6/12/2019,Stone Mountain                ,71,No weather impact        ,64,1796,L64/H72/A68/P0.03/Cloudy/Sticky                             ,Cloudy                                                      
6/12/2019,White Water                   ,78,Both precipitation/temp  ,55,417,L55/H76/A65/P0.30/Partly Cloudy/Comfortable                 ,Substantial Heavy Rain/Some Cold Temps                      
6/12/2019,Wild Adventures               ,89,Precipitation            ,72,0,L72/H81/A75/P1.29/Partly Cloudy/Oppressive                  ,Substantial Heavy Rain                                      
6/12/2019,Newport Aquarium              ,76,No weather impact        ,55,2136,L55/H75/A66/P0.09/Partly Cloudy/Comfortable                 ,                                                            
6/12/2019,Adventure Aquarium            ,77,No weather impact        ,59,1354,L59/H75/A68/Partly Cloudy/Pleasant                          ,                                                            
6/13/2019,Silver Dollar City            ,77,No weather impact        ,53,12127,L53/H77/A65/Clear/Sunney/Pleasant                           ,                                                            
6/13/2019,Dollywood                     ,73,Precipitation            ,56,12485,L56/H74/A66/P0.34/Mostly Sunny/Pleasant                     ,Substantial Heavy Rain                                      
6/13/2019,Dollywood Splash Country      ,73,Precipitation            ,56,1597,L56/H74/A66/P0.34/Mostly Sunny/Pleasant                     ,Substantial Heavy Rain                                      
6/13/2019,Dollywood Cabins              ,0,                         ,0,0,                                                            ,                                                            
6/13/2019,DreamMore Resort              ,0,                         ,0,304,                                                            ,                                                            
6/13/2019,Stone Mountain                ,78,No weather impact        ,62,2608,L62/H78/A70/Mostly Sunny/Comfortable                        ,                                                            
6/13/2019,White Water                   ,77,Unfavorable temperature  ,53,1734,L53/H77/A65/Clear/Sunney/Pleasant                           ,Some Cold Temps                                             
6/13/2019,Wild Adventures               ,85,No weather impact        ,69,2269,L69/H84/A77/P0.01/Partly Cloudy/Uncomfortable               ,                                                            
